pollution;;0.3301265835762024;A
protection;;0.3005971312522888;A
convention;;0.28583768010139465;A
sustainable development;;0.2558373510837555;A
programme;;0.25507527589797974;A
Mediterranean Sea;;0.23079292476177216;A
conventionto;;0.21146398782730103;A
state;;0.21146398782730103;A
body;;0.21146398782730103;A
resource;;0.21146398782730103;A
commitment;;0.21146398782730103;A
protocol;;0.2099822461605072;A
dump;;0.18255269527435303;A
waste;;0.16233128309249878;A
application;;0.16233128309249878;A
access;;0.15769504010677338;A
environment;;0.15046273171901703;A
ship;;0.15009021759033203;A
measure;;0.1493644267320633;A
monitor;;0.14859041571617126;A
discharge;;0.1481795310974121;A
Barcelona Convention;;0.1162714883685112;A
zone;;0.07205259054899216;A
interest;;0.07205259054899216;A
article;;0.06869859993457794;A
action;;0.060747675597667694;A
plan;;0.060747675597667694;A
sea;;0.05676664039492607;A
United Nations;;0.036810252815485;A
union;;0.02841990441083908;A
--;;0.02732362411916256;A
area;;0.026790285483002663;A
party;;0.025019323453307152;A
web;;0.02339416742324829;A
UNEP;;0.022154049947857857;A
Mediterranean;;0.014305047690868378;A
region;;0.012243873439729214;A
February;;0.011088402941823006;A
format;;0.007934166118502617;A
bullet list;;0.004602473229169846;A
amendment;;0.0021375478245317936;A
language;;0.0021317051723599434;A
list;;8.063394925557077E-4;A
Herzegovina;;3.792850475292653E-4;A
end;;7.041278877295554E-5;A
XX;;1.1949557976786821E-29;A
polluter;;1.1949557976786821E-29;A
plane;;1.1949557976786821E-29;A
measuresagainst;;1.1949557976786821E-29;A
contentmodel;;1.1949557976786821E-29;A
negotiator;;1.1949557976786821E-29;A
caption;;1.1949557976786821E-29;A
recommendation;;1.1949557976786821E-29;A
type;;1.1949557976786821E-29;A
objective;;1.1949557976786821E-29;A
number;;1.1949557976786821E-29;A
observer;;1.1949557976786821E-29;A
rehabilitation;;1.1949557976786821E-29;A
context;;1.1949557976786821E-29;A
2020infobox;;1.1949557976786821E-29;A
July;;1.1949557976786821E-29;A
prevention;;1.1949557976786821E-29;A
cooperation;;1.1949557976786821E-29;A
goal;;1.1949557976786821E-29;A
Mediterranean SeaLaw;;1.1949557976786821E-29;A
impact;;1.1949557976786821E-29;A
wikisource4;;1.1949557976786821E-29;A
tributary;;1.1949557976786821E-29;A
community;;1.1949557976786821E-29;A
emergencyto;;1.1949557976786821E-29;A
conservation;;1.1949557976786821E-29;A
science;;1.1949557976786821E-29;A
force;;1.1949557976786821E-29;A
depositor;;1.1949557976786821E-29;A
importanceprotect;;1.1949557976786821E-29;A
eia;;1.1949557976786821E-29;A
Barcelona Conventionpng;;1.1949557976786821E-29;A
status;;1.1949557976786821E-29;A
participation;;1.1949557976786821E-29;A
June;;1.1949557976786821E-29;A
aim;;1.1949557976786821E-29;A
air;;1.1949557976786821E-29;A
matter;;1.1949557976786821E-29;A
pollutionto;;1.1949557976786821E-29;A
webarchive;;1.1949557976786821E-29;A
Bosnia;;1.1949557976786821E-29;A
1995;;1.1949557976786821E-29;A
government;;1.1949557976786821E-29;A
httpeuropaeulegislationsummariesenvironmentwaterprotectionmanagementl28084enhtm;;1.1949557976786821E-29;A
member;;1.1949557976786821E-29;A
NGOs;;1.1949557976786821E-29;A
commission;;1.1949557976786821E-29;A
deadline;;1.1949557976786821E-29;A
map;;1.1949557976786821E-29;A
situation;;1.1949557976786821E-29;A
legislation;;1.1949557976786821E-29;A
completion;;1.1949557976786821E-29;A
website;;1.1949557976786821E-29;A
provisionalapplication;;1.1949557976786821E-29;A
pollution due;;1.1949557976786821E-29;A
procedure;;1.1949557976786821E-29;A
Mediterranean SeaTo;;1.1949557976786821E-29;A
framework;;1.1949557976786821E-29;A
information;;1.1949557976786821E-29;A
run-off;;1.1949557976786821E-29;A
movement;;1.1949557976786821E-29;A
country;;1.1949557976786821E-29;A
principle;;1.1949557976786821E-29;A
Gibraltar;;1.1949557976786821E-29;A
use;;1.1949557976786821E-29;A
emergency;;1.1949557976786821E-29;A
source;;1.1949557976786821E-29;A
research;;1.1949557976786821E-29;A
exploitation;;1.1949557976786821E-29;A
reference;;1.1949557976786821E-29;A
assessment;;1.1949557976786821E-29;A
sustainable developmentBy;;1.1949557976786821E-29;A
act;;1.1949557976786821E-29;A
west;;1.1949557976786821E-29;A
diversityagainst;;1.1949557976786821E-29;A
Short;;1.1949557976786821E-29;A
image;;1.1949557976786821E-29;A
development;;1.1949557976786821E-29;A
law;;1.1949557976786821E-29;A
Barcelona;;1.1949557976786821E-29;A
alt;;1.1949557976786821E-29;A
water;;1.1949557976786821E-29;A
prospection;;1.1949557976786821E-29;A
strait;;1.1949557976786821E-29;A
revision;;1.1949557976786821E-29;A
shelf;;1.1949557976786821E-29;A
eu;;1.1949557976786821E-29;A
treatyuse;;1.1949557976786821E-29;A
effect;;1.1949557976786821E-29;A
shoreline;;1.1949557976786821E-29;A
name;;1.1949557976786821E-29;A
page;;1.1949557976786821E-29;A
signatory;;1.1949557976786821E-29;A
mediator;;1.1949557976786821E-29;A
dateexpiry;;1.1949557976786821E-29;A
seab;;1.1949557976786821E-29;A
locationsigned;;1.1949557976786821E-29;A
link;;1.1949557976786821E-29;A
technique;;1.1949557976786821E-29;A
combat;;1.1949557976786821E-29;A
instrument;;1.1949557976786821E-29;A
dateexpiration;;1.1949557976786821E-29;A
title;;1.1949557976786821E-29;A
east;;1.1949557976786821E-29;A
gulf;;1.1949557976786821E-29;A
land;;1.1949557976786821E-29;A
11569191;;1.1949557976786821E-29;A
November;;1.1949557976786821E-29;A
