oil;;0.7402635812759399;A
wildlife;;0.3092033565044403;A
title;;0.26705145835876465;A
animal;;0.25758033990859985;A
bird;;0.2047675997018814;A
exposure;;0.19596505165100098;A
contact;;0.14646223187446594;A
citation;;0.13888512551784515;A
publisher;;0.13888511061668396;A
spill;;0.11203044652938843;A
impact;;0.09412247687578201;A
oil spills;;0.0901448205113411;A
damage;;0.08936512470245361;A
disease;;0.08003409951925278;A
October;;0.07353726774454117;A
specy;;0.062395285815000534;A
egg;;0.051727596670389175;A
shore;;0.05029010772705078;A
ability;;0.04847110062837601;A
page;;0.04723075404763222;A
death;;0.04629984125494957;A
sea;;0.0450691394507885;A
oil spill;;0.0444679893553257;A
2013;;0.041246939450502396;A
petroleum;;0.03515265882015228;A
fish;;0.029727112501859665;A
effect;;0.02890838496387005;A
marine mammals;;0.027606038376688957;A
turtle;;0.026487434282898903;A
liver;;0.022006697952747345;A
kidney;;0.022006696090102196;A
ingestion;;0.02056204155087471;A
variety;;0.019652286544442177;A
insulation;;0.013434089720249176;A
otter;;0.012893220409750938;A
shellfish;;0.012488100677728653;A
fur;;0.0124181117862463;A
environment;;0.009077630005776882;A
habitat;;0.00898901466280222;A
BP;;0.00898901466280222;A
mammal;;0.008350766263902187;A
treatment;;0.007989049889147282;A
feather;;0.007971188984811306;A
water;;0.007782802917063236;A
nest;;0.0073810163885355;A
system;;0.007182777859270573;A
spp;;0.0049354503862559795;A
hypothermia;;0.004558287560939789;A
Birds;;0.0020634182728827;A
archive-date;;4.10249840770295E-19;A
year;;4.10249840770295E-19;A
tissue;;4.10249840770295E-19;A
type;;4.10249840770295E-19;A
Francisco;;4.10249840770295E-19;A
problem;;4.10249840770295E-19;A
friend;;4.10249840770295E-19;A
httpswwwnwforgwhat-we-doprotect-habitatgulf-restorationoil-spilleffects-on-wildlifeaspx;;4.10249840770295E-19;A
property;;4.10249840770295E-19;A
suppression;;4.10249840770295E-19;A
season;;4.10249840770295E-19;A
dehydration;;4.10249840770295E-19;A
bay;;4.10249840770295E-19;A
id;;4.10249840770295E-19;A
trap;;4.10249840770295E-19;A
inspection;;4.10249840770295E-19;A
order;;4.10249840770295E-19;A
absorption;;4.10249840770295E-19;A
blindness;;4.10249840770295E-19;A
birth;;4.10249840770295E-19;A
population;;4.10249840770295E-19;A
lung;;4.10249840770295E-19;A
route;;4.10249840770295E-19;A
field;;4.10249840770295E-19;A
clade;;4.10249840770295E-19;A
organ;;4.10249840770295E-19;A
June;;4.10249840770295E-19;A
intestine;;4.10249840770295E-19;A
skin;;4.10249840770295E-19;A
algae;;4.10249840770295E-19;A
J;;4.10249840770295E-19;A
httpwwwportalstatepausportalserverptdocument1204947oiltoxicitypdf;;4.10249840770295E-19;A
air;;4.10249840770295E-19;A
turn;;4.10249840770295E-19;A
manual;;4.10249840770295E-19;A
result;;4.10249840770295E-19;A
refinery;;4.10249840770295E-19;A
containment;;4.10249840770295E-19;A
library;;4.10249840770295E-19;A
overwinter;;4.10249840770295E-19;A
Fish;;4.10249840770295E-19;A
commission;;4.10249840770295E-19;A
waterproof;;4.10249840770295E-19;A
federation;;4.10249840770295E-19;A
stress;;4.10249840770295E-19;A
USA;;4.10249840770295E-19;A
change;;4.10249840770295E-19;A
pelican;;4.10249840770295E-19;A
exhaustion;;4.10249840770295E-19;A
health;;4.10249840770295E-19;A
tanker;;4.10249840770295E-19;A
store;;4.10249840770295E-19;A
necropsy;;4.10249840770295E-19;A
httpswebarchiveorgweb20170809023913httpswwwnwhcusgsgovpublicationsfieldmanualchapter42pdf;;4.10249840770295E-19;A
immunologic;;4.10249840770295E-19;A
people;;4.10249840770295E-19;A
url;;4.10249840770295E-19;A
food;;4.10249840770295E-19;A
pipeline;;4.10249840770295E-19;A
inhalation;;4.10249840770295E-19;A
site;;4.10249840770295E-19;A
fly;;4.10249840770295E-19;A
wikitext;;4.10249840770295E-19;A
Milton;;4.10249840770295E-19;A
facility;;4.10249840770295E-19;A
grebe;;4.10249840770295E-19;A
penguin;;4.10249840770295E-19;A
date;;4.10249840770295E-19;A
administration;;4.10249840770295E-19;A
sign;;4.10249840770295E-19;A
embryo;;4.10249840770295E-19;A
stomach;;4.10249840770295E-19;A
source;;4.10249840770295E-19;A
float;;4.10249840770295E-19;A
body;;4.10249840770295E-19;A
smell;;4.10249840770295E-19;A
drown;;4.10249840770295E-19;A
reference;;4.10249840770295E-19;A
spring;;4.10249840770295E-19;A
assessment;;4.10249840770295E-19;A
whale;;4.10249840770295E-19;A
female;;4.10249840770295E-19;A
US;;4.10249840770295E-19;A
train;;4.10249840770295E-19;A
dolphin;;4.10249840770295E-19;A
organism;;4.10249840770295E-19;A
level;;4.10249840770295E-19;A
weight;;4.10249840770295E-19;A
hydrocarbon;;4.10249840770295E-19;A
April;;4.10249840770295E-19;A
oil spilled;;4.10249840770295E-19;A
revision;;4.10249840770295E-19;A
Pennsylvania;;4.10249840770295E-19;A
month;;4.10249840770295E-19;A
shoreline;;4.10249840770295E-19;A
oil spillThe;;4.10249840770295E-19;A
San;;4.10249840770295E-19;A
game;;4.10249840770295E-19;A
September;;4.10249840770295E-19;A
thermo-regulation;;4.10249840770295E-19;A
book;;4.10249840770295E-19;A
isbn;;4.10249840770295E-19;A
cause;;4.10249840770295E-19;A
winter;;4.10249840770295E-19;A
Ingestion;;4.10249840770295E-19;A
starvation;;4.10249840770295E-19;A
gill;;4.10249840770295E-19;A
pneumonia;;4.10249840770295E-19;A
behavioral;;4.10249840770295E-19;A
access-date;;4.10249840770295E-19;A
