Ferreira;;0.4601549804210663;A
2021;;0.3495310842990875;A
award;;0.27022114396095276;A
science;;0.2652796804904938;A
technology;;0.20931503176689148;A
July;;0.20615364611148834;A
Cork;;0.1814488023519516;A
Forbes;;0.17103546857833862;A
web;;0.1661248803138733;A
August;;0.1536199450492859;A
Google Science Fair;;0.14608179032802582;A
teen;;0.13357526063919067;A
Miguel;;0.1277714967727661;A
Fionn Ferreira;;0.1277714967727661;A
name;;0.12777148187160492;A
title;;0.12777148187160492;A
prize;;0.1265968680381775;A
plastic;;0.12099636346101761;A
pollution;;0.12093281000852585;A
star;;0.10703550279140472;A
chemistry;;0.10339714586734772;A
Intel;;0.10056829452514648;A
new;;0.09951353073120117;A
Internationale;;0.09728477150201797;A
Giuseppe Sciacca;;0.09728477150201797;A
2022;;0.09697401523590088;A
time;;0.09606068581342697;A
National Geographic;;0.0956287756562233;A
explorer;;0.0956287682056427;A
world;;0.09451445937156677;A
area;;0.08713528513908386;A
builder;;0.08587158471345901;A
England;;0.08487453311681747;A
water;;0.08189433068037033;A
2019;;0.08037806302309036;A
student;;0.07972561568021774;A
age;;0.06237296015024185;A
coastline;;0.05696168169379234;A
county;;0.055698003619909286;A
scientist;;0.04102461785078049;A
method;;0.03767985478043556;A
clean;;0.037629175931215286;A
removal;;0.03499695658683777;A
university;;0.03139948099851608;A
laboratory;;0.029719514772295952;A
society;;0.028707535937428474;A
rate;;0.02293681912124157;A
extraction;;0.02293681912124157;A
particle;;0.021825294941663742;A
Ireland;;0.02173677831888199;A
project;;0.02056475169956684;A
exhibition;;0.02056475169956684;A
college;;0.01947607286274433;A
ocean;;0.019088322296738625;A
solution;;0.019088322296738625;A
microplastics;;0.01799449697136879;A
2018;;0.016780294477939606;A
place;;0.016780294477939606;A
win;;0.01518941204994917;A
Groningen;;0.014294175431132317;A
boat;;0.012801099568605423;A
invention;;0.012099025771021843;A
cite web;;0.009998009540140629;A
category;;0.00899087730795145;A
bsc;;0.008600800298154354;A
laude;;0.008600800298154354;A
parent;;1.829975186885545E-30;A
contentmodel;;1.829975186885545E-30;A
complet;;1.829975186885545E-30;A
youth;;1.829975186885545E-30;A
guild;;1.829975186885545E-30;A
english;;1.829975186885545E-30;A
festival;;1.829975186885545E-30;A
profile;;1.829975186885545E-30;A
community;;1.829975186885545E-30;A
venture;;1.829975186885545E-30;A
quality;;1.829975186885545E-30;A
microcontroller;;1.829975186885545E-30;A
nationality;;1.829975186885545E-30;A
chemical;;1.829975186885545E-30;A
MIT;;1.829975186885545E-30;A
autumn;;1.829975186885545E-30;A
device;;1.829975186885545E-30;A
conference;;1.829975186885545E-30;A
association;;1.829975186885545E-30;A
httpsstudentsocietyforscienceorgdrug-chemical-associated-technologies-association-dcat-0;;1.829975186885545E-30;A
BT;;1.829975186885545E-30;A
afloatie;;1.829975186885545E-30;A
planetarium;;1.829975186885545E-30;A
ballydehob;;1.829975186885545E-30;A
boat-builder;;1.829975186885545E-30;A
eckardt;;1.829975186885545E-30;A
Poland;;1.829975186885545E-30;A
teenager;;1.829975186885545E-30;A
Eckardt;;1.829975186885545E-30;A
website;;1.829975186885545E-30;A
reaction;;1.829975186885545E-30;A
childhood;;1.829975186885545E-30;A
business;;1.829975186885545E-30;A
plastics;;1.829975186885545E-30;A
maker;;1.829975186885545E-30;A
co;;1.829975186885545E-30;A
partner;;1.829975186885545E-30;A
Google Science;;1.829975186885545E-30;A
St;;1.829975186885545E-30;A
berry;;1.829975186885545E-30;A
republic;;1.829975186885545E-30;A
institution;;1.829975186885545E-30;A
by-line--;;1.829975186885545E-30;A
school;;1.829975186885545E-30;A
UK;;1.829975186885545E-30;A
Ferreiracite web;;1.829975186885545E-30;A
scholarship;;1.829975186885545E-30;A
wood;;1.829975186885545E-30;A
Short;;1.829975186885545E-30;A
train;;1.829975186885545E-30;A
image;;1.829975186885545E-30;A
test;;1.829975186885545E-30;A
spill;;1.829975186885545E-30;A
planet;;1.829975186885545E-30;A
viva;;1.829975186885545E-30;A
article;;1.829975186885545E-30;A
boatbuild;;1.829975186885545E-30;A
curator;;1.829975186885545E-30;A
campaign;;1.829975186885545E-30;A
page;;1.829975186885545E-30;A
Smithsonian;;1.829975186885545E-30;A
September;;1.829975186885545E-30;A
effort;;1.829975186885545E-30;A
summit;;1.829975186885545E-30;A
house;;1.829975186885545E-30;A
life;;1.829975186885545E-30;A
Netherlands;;1.829975186885545E-30;A
mixture;;1.829975186885545E-30;A
Anne;;1.829975186885545E-30;A
wonder;;1.829975186885545E-30;A
awardedcite web;;1.829975186885545E-30;A
November;;1.829975186885545E-30;A
photometer;;1.829975186885545E-30;A
studentsocietyforscienceorg;;1.829975186885545E-30;A
engineer;;1.829975186885545E-30;A
way;;1.829975186885545E-30;A
home;;1.829975186885545E-30;A
forum;;1.829975186885545E-30;A
ferrofluid;;1.829975186885545E-30;A
fund;;1.829975186885545E-30;A
ireland;;1.829975186885545E-30;A
education;;1.829975186885545E-30;A
caption;;1.829975186885545E-30;A
focus;;1.829975186885545E-30;A
fair;;1.829975186885545E-30;A
bit;;1.829975186885545E-30;A
Portugal;;1.829975186885545E-30;A
attempt;;1.829975186885545E-30;A
approach;;1.829975186885545E-30;A
problem;;1.829975186885545E-30;A
experiment;;1.829975186885545E-30;A
action;;1.829975186885545E-30;A
model;;1.829975186885545E-30;A
Contest;;1.829975186885545E-30;A
Lincoln;;1.829975186885545E-30;A
Arizona;;1.829975186885545E-30;A
partnership;;1.829975186885545E-30;A
work;;1.829975186885545E-30;A
